Pays,Surnom,Flag,IndependenceDate
Afrique du Sud,Bafana Bafana,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20South%20Africa.svg,1910-05-31T00:00:00Z
Algérie,Les Fennecs,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Algeria.svg,-0201-01-01T00:00:00Z
Angola,Les Palancas Negras,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Angola.svg,1992-08-25T00:00:00Z
Botswana,Les Zebras,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Botswana.svg,1966-01-01T00:00:00Z
Burkina Faso,Les Étalons,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Burkina%20Faso.svg,1960-01-01T00:00:00Z
Burundi,Les Hirondelles,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Burundi.svg,1962-07-01T00:00:00Z
Bénin,Les Guépards,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Benin.svg,1990-12-02T00:00:00Z
Cameroun,Les Lions Indomptables,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cameroon.svg,1960-01-01T00:00:00Z
Cap-Vert,Les Requins bleus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cape%20Verde.svg,1975-07-05T00:00:00Z
Comores,Les Cœlacanthes,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Comoros.svg,1975-07-06T00:00:00Z
Congo,Les Diables Rouges,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Republic%20of%20the%20Congo.svg,1960-01-01T00:00:00Z
RD Congo,Les Léopards,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Democratic%20Republic%20of%20the%20Congo.svg,1960-06-30T00:00:00Z
Côte d'Ivoire,Les Éléphants,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20C%C3%B4te%20d%27Ivoire.svg,1960-01-01T00:00:00Z
Djibouti,Les Requins de la mer rouge,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Djibouti.svg,1977-06-23T00:00:00Z
Égypte,Les Pharaons,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Egypt.svg,1922-02-28T00:00:00Z
Érythrée,Red Sea Boys,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Eritrea.svg,1993-05-24T00:00:00Z
Éthiopie,Les Antilopes Walya,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ethiopia.svg,1995-08-21T00:00:00Z
Gabon,Les Panthères,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Gabon.svg,1960-01-01T00:00:00Z
Gambie,Les Scorpions,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20The%20Gambia.svg,1965-01-01T00:00:00Z
Ghana,Black Stars,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ghana.svg,1957-01-01T00:00:00Z
Guinée,Le Sily National,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Guinea.svg,1958-10-02T00:00:00Z
Guinée-Bissau,Os Djurtus,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Guinea-Bissau.svg,1974-01-01T00:00:00Z
Guinée équatoriale,Nzalang Nacional,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Equatorial%20Guinea.svg,1968-10-12T00:00:00Z
Kenya,Harambee Stars,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kenya.svg,1963-01-01T00:00:00Z
Lesotho,Likuena,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lesotho.svg,1966-01-01T00:00:00Z
