Year,Goal,Scorer,Country
1998,7,Hossam HASSAN , Egypte
1998,7,Benedict McCARTHY , Afrique du Sud
1998,4,Joel TIEHI , Cote d'Ivoire
1998,4,Mbuilua Jerry NTONDELUA , Zaire
1998,3,Alphonse Marie TCHAMI Djomaha , Cameroun
1998,3,Souleyame OULARE , Guinée
1998,2,PAULO SILVA , Angola
1998,2,Kassoum OUEDRAOGO , Burkina Faso
1998,2,Ibrahim BAKAYOKO , Cote d'Ivoire
1998,2,Tchiressoa GUEL , Cote d'Ivoire
1998,2,Said CHIBA , Maroc
1998,2,Eliphas SHIVUTE , Namibie
1998,2,Gervatius URI KHOB , Namibie
1998,2,Hassan GABSI , Tunisie
1998,2,Mehdi BEN SLIMANE , Tunisie
1998,2,Ziad TLEMCANI , Tunisie
1998,2,Lokenge MUNGONGO , Zaire
1998,1,Bilel DZIRI , Algérie
1998,1,Moussa SAIB , Algérie
1998,1,LAZARO , Angola
1998,1,MIGUEL PEREIRA , Angola
1998,1,QUINZINHO , Angola
1998,1,Oumar BARRO , Burkina Faso
1998,1,Romeo KAMBOU , Burkina Faso
1998,1,Sidi NAPON , Burkina Faso
1998,1,Alassane OUEDRAOGO , Burkina Faso
1998,1,Ibrahim TALLE , Burkina Faso
1998,1,Seydou TRAORÉ , Burkina Faso
1998,1,Joseph-Desire JOB , Cameroun
1998,1,Pierre WOME Nlend , Cameroun
1998,1,Ahmed Kamel HASSAN , Egypte
1998,1,Tarek MOUSTAFA , Egypte
1998,1,Yasser RADWAN , Egypte
1998,1,Mohamed GARGO , Ghana
1998,1,Samuel JOHNSON , Ghana
1998,1,Alex NYARKO , Ghana
1998,1,Lassina DIABATE , Cote d'Ivoire
1998,1,Ahmed QUATTARA , Cote d'Ivoire
1998,1,Ahmed BAHJA , Maroc
1998,1,Youssef FERTOUT , Maroc
1998,1,Mustapha El HADJI , Maroc
1998,1,Ali EL KHATTABI , Maroc
1998,1,AVELINO , Mozambique
1998,1,Ricardo MANNETTI , Namibie
1998,1,Robert NAUSEB , Namibie
1998,1,Simon UUTONI , Namibie
1998,1,Helman MKHALELE Nkosiyethu , Afrique du Sud
1998,1,David S’busiso NYATHI , Afrique du Sud
1998,1,Komlan ASSIGNON , Togo
1998,1,Mohamed COUBABDJA , Togo
1998,1,Franck Dote , Togo
1998,1,Massamesso TCHANGAI , Togo
1998,1,Eddy Keve BEMBUANA , Zaire
1998,1,Banza KASONGO , Zaire
1998,1,Okitankoyi KIMOTO , Zaire
1998,1,Mundaba KISOMBE , Zaire
1998,1,Kalusha BWALYA , Zambie
1998,1,Tenant CHILUMBA , Zambie
1998,1,Rotson KILAMBE , Zambie
1998,1,Masauso TEMBO , Zambie
2000,5,Shaun Thurston BARTLETT , Afrique du Sud
2000,4,Samuel ETO'O Fils , Cameroun
2000,4,Patrick Henri MBOMA Dem , Cameroun
2000,3,Hossam HASSAN , Egypte
2000,3,Julius AGHAHOWA , Nigeria
2000,3,Austine Azuka OKOCHA , Nigeria
2000,2,Abdelhafid TASFAOUT , Algérie
2000,2,Ousame SANOU , Burkina Faso
2000,2,Marc Vivien FOÉ , Cameroun
2000,2,Kwame AYEW , Ghana
2000,2,Tijani BABANGIDA , Nigeria
2000,2,Victor IKPEBA Nosa , Nigeria
2000,2,Henri CAMARA , Sénégal
2000,2,Siyabonga NOMVETE , Afrique du Sud
2000,2,Ali ZITOUNI , Tunisie
2000,1,Bilal DZIRI , Algérie
2000,1,Farid GHAZI , Algérie
2000,1,Fawzi MOUSSOUNI , Algérie
2000,1,Ismael KOUDOU , Burkina Faso
2000,1,Alassane OUEDRAOGO , Burkina Faso
2000,1,Raymond KALLA Nkongo , Cameroun
2000,1,Abdel Halim ALI , Egypte
2000,1,Ahmed Salah HOSNI , Egypte
2000,1,Yasser RADWAN , Egypte
2000,1,Hany RAMZY , Egypte
2000,1,Zita Bruno MBANANGOYE , Gabon
2000,1,Chiva NZIGHOU Star , Gabon
2000,1,Otto ADDO , Ghana
