Pays	sélectionneur	nationalité	2000
Cameroun	 Pierre Lechantre	 France	 2000
Ghana	 Giuseppe Dossena	 Italie	 2000
Cote d'Ivoire	 Gbonké Tia Martin	 Cote d'Ivoire	 2000
Togo	 Gottlieb Goeller	 Allemagne	 2000
Afrique du Sud	 Trott Maloto	 Afrique du Sud	 2000
Algérie	 Nasser Sandjak	 France	 2000
RD Congo	 Basilua Lusadusu Basilwa	 RD Congo	 2000
Gabon	 Antonio Dumas	 Brésil	 2000
Egypte	 Gerard Gili	 France	 2000
Senegal	 Peter Schnittger	 Allemagne	 2000
Zambie	 Ben Bamfuchile	 Zambie	 2000
Burkina Faso	 René Taelman	 Belgique	 2000
Nigeria	 Jo Bonfrere	 Pays-Bas	 2000
Tunisie	 Francesco Scoglio	 Italie	 2000
Maroc	 Henri Michel	 France	 2000
Congo	 David Memy	 Congo	 2000
Nigeria	 Shaibu Amodu	 Nigeria	 2002
Mali	 Henryk Kasperczak	 Pologne	 2002
Liberia	 Dominic George Vava	Libéria	 2002
Algérie	 Rabah Madjer	 Algérie	 2002
Afrique du Sud	 Carlos Queiroz	 Portugal	 2002
Ghana	 Fred Osam Duodu	 Ghana	 2002
Maroc	 Humberto Coelho	 Portugal	 2002
Burkina Faso	 Jacques Yamego - Pihouri Weboanga	Burkina Faso	 2002
Cameroun	 Winfried Schafer	 Allemagne	 2002
RD condo	 Louis Watunda	 RD Congo	 2002
Togo	 Bana Tchanilé	 Togo	 2002
Cote d'Ivoire	 Lama Bamba	 Cote d'Ivoire	 2002
Senegal	 Bruno Metsu	 France	 2002
Egypte	 Mahmoud Al Gohary	 Egype	 2002
Tunisie	 Henri Michel	 France	 2002
Zambie	 Roald Poulsen	 Danemark	 2002
RD Congo	 Mick Wadsworth	 Angleterre	 2004
Guinée	Michel Dussuyer	 France	 2004
Rwanda	 Ratomir Dujkovic	 Serbie	 2004
Tunisie	 Roger Lemerre	 France	 2004
Burkina Faso	 Jean-Paul Rabier	 France	 2004
Kenya	 Jacob Mulee	 Kenya	 2004
Mali	 Henri Stambouli	 France	 2004
Senegal	 Guy Stéphan	 France	 2004
Algérie	 Rabah Saadane	 Algérie	 2004
Cameroon	 Winfried Schafer	 Allemagne	 2004
Egypte	 Mohsen Saleh	 Egypte	 2004
Zimbabwe	 Sunday Marimo	 Zimbabwe	 2004
Benin	 Cecil Jones Attuquayefio	 Ghana	 2004
Maroc	 Badou Zaki	 Maroc	 2004
Nigeria	 Christian Chukwu	 Nigeria	 2004
Afrique du Sud	 April Phumo	 Afrique du Sud	 2004
Egypte	 Hassan Shehata	 Egypte	 2006
Libye	 Ilija Loncarevic	 Croatie	 2006
Maroc	 Mohamed Fakhir	 Maroc	 2006
Cote d'Ivoire	 Henri Michel	 France	 2006
Cameroun	 Arthur Jorge	 Portugal	 2006
Angola	 Oliveira Goncalves	 Angola	 2006
Togo	 Stephen Keshi	 Nigeria	 2006
RD Congo	 Claude Le Roy	 France	 2006
Tunisie	 Roger Lemerre	 France	 2006
Zambie	 Kalusha Bwalya	 Zambie	 2006
Afrique du Sud	 Ted Dumitru	 Roumanie	 2006
Guinée	 Patrice Neveu	 France	 2006
Nigeria	 Augustine Eguavoen	Nigeria	 2006
Ghana	 Ratomir Dujkovic	 Serbie	 2006
Zimbabwe	 Charles Mhlauri	 Zimbabwe	 2006
Senegal	 Abdoulaye Sarr	 Senegal	 2006
